Date,Open,High,Low,Close,Adj Close,Volume,lab,lab2
1/2/2020,6313.12793,6317.013184,6263.675781,6283.581055,6283.581055,3304370000,1/2/2020,1/2/2020
1/3/2020,6306.187012,6323.46582,6287.706055,6323.46582,6323.46582,4462530000,,
1/6/2020,6293.499023,6300.436035,6252.634766,6257.402832,6257.402832,4142130000,,
1/7/2020,6272.220215,6284.89209,6246.128906,6279.346191,6279.346191,3944160000,,
1/8/2020,6248.442871,6250.12207,6218.129883,6225.686035,6225.686035,4462260000,,1/8/2020
1/9/2020,6248.661133,6274.493164,6238.98291,6274.493164,6274.493164,4186840000,,
1/10/2020,6287.166992,6295.370117,6271.97998,6274.940918,6274.940918,5221350000,,
1/13/2020,6287.912109,6297.775879,6269.480957,6296.566895,6296.566895,4400380000,,
1/14/2020,6308.890137,6325.405762,6298.60791,6325.405762,6325.405762,4446740000,1/14/2020,1/14/2020
1/15/2020,6326.166016,6348.525879,6255.498047,6283.365234,6283.365234,5108920000,,
1/16/2020,6275.956055,6299.541016,6255.493164,6286.047852,6286.047852,4211830000,,
1/17/2020,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227,3759790000,,
1/20/2020,6310.500977,6312.98877,6240.189941,6245.042969,6245.042969,3881820000,,1/20/2020
1/21/2020,6251.99707,6257.884766,6226.063965,6238.152832,6238.152832,4192960000,,
1/22/2020,6241.575195,6265.51416,6223.189941,6233.453125,6233.453125,5107780000,,
1/23/2020,6243.998047,6255.042969,6229.130859,6249.209961,6249.209961,4125650000,,
1/24/2020,6242.834961,6258.851074,6234.825195,6244.108887,6244.108887,3882890000,1/24/2020,1/24/2020
1/27/2020,6240.817871,6242.176758,6130.928223,6133.208008,6133.208008,4372300000,,
1/28/2020,6111.184082,6111.184082,6111.184082,6111.184082,6111.184082,0,,
1/29/2020,6123.095215,6152.588867,6102.795898,6113.044922,6113.044922,3460530000,,
1/30/2020,6057.596191,6057.596191,6057.596191,6057.596191,6057.596191,0,,1/30/2020
1/31/2020,6076.458984,6078.930176,5937.021973,5940.047852,5940.047852,4150870000,,
2/3/2020,5920.967773,5942.782227,5877.201172,5884.169922,5884.169922,3495100000,,
2/4/2020,5947.506836,5952.946777,5911.375,5922.338867,5922.338867,3621770000,,
2/5/2020,5955.519043,5978.509766,5924.374023,5978.509766,5978.509766,3978660000,2/5/2020,2/5/2020
2/6/2020,6002.919922,6013.699219,5969.484863,5987.14502,5987.14502,3990970000,,
2/7/2020,5988.058105,6004.812012,5981.644043,5999.606934,5999.606934,3528170000,,
2/10/2020,5993.376953,5996.46582,5937.380859,5952.083008,5952.083008,3430540000,,
2/11/2020,5974,5975.160156,5946.220215,5954.396973,5954.396973,3370000000,,2/11/2020
2/12/2020,5957.060059,5962.347168,5895.724121,5913.081055,5913.081055,2925680000,,
2/13/2020,5921.912109,5929.499023,5860.254883,5871.954102,5871.954102,3324820000,,
2/14/2020,5857.721191,5890.028809,5843.432129,5866.944824,5866.944824,2765520000,,
2/17/2020,5863.914063,5878.463867,5853.598145,5867.522949,5867.522949,2872330000,2/17/2020,2/17/2020
2/18/2020,5856.880859,5907.13916,5855.924805,5886.961914,5886.961914,3464140000,,
2/19/2020,5898.899902,5928.791016,5898.701172,5928.791016,5928.791016,3451780000,,
2/20/2020,5941.450195,5960.712891,5929.14502,5942.486816,5942.486816,3735010000,,
2/21/2020,5940.785156,5944.205078,5873.731934,5882.254883,5882.254883,3666540000,,2/21/2020
2/24/2020,5846.145996,5863.124023,5787.919922,5807.049805,5807.049805,4003960000,,
2/25/2020,5784.736816,5814.679199,5752.334961,5787.138184,5787.138184,3950260000,,
2/26/2020,5757.166992,5757.740234,5688.920898,5688.920898,5688.920898,3952130000,,
2/27/2020,5680.437012,5684.286133,5526.816895,5535.693848,5535.693848,4130870000,2/27/2020,2/27/2020
2/28/2020,5436.171875,5456.275879,5288.370117,5452.704102,5452.704102,4963680000,,
3/2/2020,5455.045898,5491.134766,5354.620117,5361.246094,5361.246094,4023500000,,
3/3/2020,5431.295898,5545.773926,5431.295898,5518.62793,5518.62793,4297430000,,
